Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Cân nặng,Giá(đ)
Bàn phím cơ Fuhlen H108S Panda 3 Mode Wireless Fuhlen Yellow Pro switch,Fuhlen,V500,vừa có dây vừa không dây,358.07547169811323,pink,1013.0098039215686,1799000 
Bàn phím cơ Fuhlen H108S Panda 3 Mode Wireless Fuhlen Brown Pro switch,Fuhlen,H87S,có dây,358.07547169811323,white,1013.0098039215686,1799000 
Bàn phím cơ DarkFlash GD108 Starry Blue Yellow Axis switch,DarkFlash,GD108,không dây,358.07547169811323,silver,1013.0098039215686,849000 
Bàn phím cơ DarkFlash GD108 Milky Brown Yellow Axis switch,DarkFlash,GD108,không dây,358.07547169811323,red,1013.0098039215686,849000 
Bàn phím cơ DareU EK75 Pro Triple Mode Black Golden DareU Firefly switch,DareU,EK75,không dây,333.0,blue,740.0,1049000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Beta Red switch,E-DRA,EK384,không dây,312.0,red,750.0,799000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Beta Blue switch,E-DRA,EK384,không dây,312.0,blue,750.0,799000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Beta Brown switch,E-DRA,EK384,không dây,312.0,brown,750.0,799000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Alpha Brown switch,E-DRA,EK384,không dây,312.0,brown,750.0,799000 
Bàn phím cơ E-DRA EK384 Triple Mode Wireless Alpha Blue switch,E-DRA,EK384,không dây,312.0,blue,750.0,799000 
Bàn phím cơ DareU EK75 Pro Triple Mode Black Golden DareU Dream switch,DareU,EK75,không dây,333.0,red,740.0,1049000 
Bàn phím Logitech G213 Prodigy RGB,Logitech,EK398L,vừa có dây vừa không dây,358.07547169811323,brown,1013.0098039215686,949000 
Bàn phím cơ E-DRA EK387L RGB Brown switch,E-DRA,EK387L,vừa có dây vừa không dây,358.07547169811323,brown,1013.0098039215686,649000 
Bàn phím cơ E-DRA EK387L RGB Red switch,E-DRA,EK387L,không dây,358.07547169811323,red,1013.0098039215686,649000 
Bàn phím cơ E-DRA EK387L RGB Blue switch,E-DRA,EK387L,không dây,358.07547169811323,blue,1013.0098039215686,649000 
Bàn phím cơ DareU EK1280 V2 RGB Blue switch,DareU,CMK98SAM,không dây,358.07547169811323,blue,1013.0098039215686,849000 
Bàn phím cơ DareU EK1280 V2 RGB Brown switch,DareU,CMK87,không dây,358.07547169811323,brown,1013.0098039215686,849000 
Bàn phím cơ DareU EK1280 V2 RGB Red switch,DareU,EK384,có dây,358.07547169811323,red,1013.0098039215686,849000 
Bàn phím cơ Logitech G512 RGB GX Blue switch,Logitech,3087,không dây,358.07547169811323,white,1013.0098039215686,1849000 
Bàn phím cơ DareU EK1280S V2 Red switch,DareU,FL680SAM,có dây,358.07547169811323,red,1013.0098039215686,689000 
Bàn phím cơ DareU EK1280S V2 Brown switch,DareU,3087,có dây,358.07547169811323,brown,1013.0098039215686,689000 
Bàn phím cơ FL-Esports CMK75 SAM Desert Grey FLCMMK Ice Pink switch,FL-Esports,EK87,không dây,358.07547169811323,pink,1013.0098039215686,2189000 
Bàn phím cơ FL-Esports CMK75 SAM Lake Placid Blue FLCMMK Ice Violet switch,FL-Esports,CMK87,không dây,358.07547169811323,green,1013.0098039215686,2189000 
Bàn phím cơ FL-Esports CMK75 SAM Lake Placid Blue FLCMMK Ice Pink switch,FL-Esports,D87s,không dây,358.07547169811323,pink,1013.0098039215686,2189000 
Bàn phím cơ FL-Esports CMK75 SAM Desert Grey FLCMMK Ice Violet switch,FL-Esports,GM980,không dây,358.07547169811323,brown,1013.0098039215686,2189000 
Bàn phím cơ Razer Blackwidow V3 Tenkeyless Green switch,Razer,Blackwidow,không dây,358.07547169811323,green,1013.0098039215686,1589000 
Bàn phím cơ DareU EK810 Red switch,DareU,GM980,không dây,358.07547169811323,red,1013.0098039215686,579000 
Bàn phím cơ DareU EK810 Brown switch,DareU,3098,không dây,358.07547169811323,brown,1013.0098039215686,579000 
Bàn phím cơ DareU EK810 Blue switch,DareU,EK375,không dây,358.07547169811323,blue,1013.0098039215686,579000 
Bàn phím cơ E-DRA EK313 Blue switch,E-DRA,K70,vừa có dây vừa không dây,358.07547169811323,blue,1013.0098039215686,469000 
Bàn phím cơ Fuhlen Subverter RGB,Fuhlen,EK398,vừa có dây vừa không dây,358.07547169811323,red,1013.0098039215686,999000 
Bàn phím cơ Fuhlen D ,Fuhlen,3068B,không dây,358.07547169811323,brown,1013.0098039215686,880000 
Bàn phím cơ Fuhlen E ,Fuhlen,FL100,có dây,358.07547169811323,cherry,1013.0098039215686,789000 
Bàn phím cơ E-DRA EK398 Pro Wireless Red switch,E-DRA,EK398,không dây,358.07547169811323,red,1013.0098039215686,1289000 
