Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn Phím Cơ Gaming Edra EK375 Pro Beta Brown Switch ,Edra,EK375,không dây,323.0,black,1099000
Bàn phím cơ Dareu EK75 PRO TRI-MODE Black-Golden ,DAREU,H75S Panda 3 Mode Wireless,vừa có dây vừa không dây,357.3097826086956,green,1049000
Bàn Phím Cơ Gaming Edra EK375 Pro Beta Red Switch ,Edra,EK375,không dây,323.0,brown,1099000
Bàn phím cơ Edra EK384 Triple Mode - Beta Red Switch ,Edra,KB1,không dây,357.3097826086956,black,749000
Bàn phím cơ DAREU EK75 Full white ,DAREU,GM328,không dây,30.0,silver,599000
Bàn phím cơ Edra EK384 Triple Mode - Beta Brown Switch ,Edra,Everest Max,không dây,357.3097826086956,cherry,749000
Bàn phím cơ DAREU EK75 Full white ,DAREU,CK87S,vừa có dây vừa không dây,30.0,yellow,599000
Bàn phím cơ Edra EK384 Triple Mode - Alpha Blue Switch ,Edra,CK87S,không dây,357.3097826086956,silver,749000
Bàn phím cơ Edra EK384 Triple Mode - Alpha Brown Switch ,Edra,GD100,không dây,357.3097826086956,brown,749000
Bàn phím cơ Edra EK384 Triple Mode - Alpha Red Switch ,Edra,Kailh Clione Limacina ,không dây,357.3097826086956,silver,749000
Bàn phím cơ AKKO 3098S World Tour London ,Akko,EK314W,không dây,382.0,silver,1799000
Bàn phím cơ AULA F68 3 mode Màu hồng trong suốt ,AULA,CD87HR,vừa có dây vừa không dây,330.0,brown,1849000
Bàn phím cơ AULA F68 3 mode Màu trắng trong suốt ,AULA,ROG Falchion,có dây,330.0,red,1849000
Bàn phím cơ Dareu EK75 PRO TRI-MODE Black-Golden ,DAREU,CD108HR,có dây,357.3097826086956,pink,1049000
Bàn phím cơ AULA F68 3 mode Màu tím trong suốt ,AULA,CK87S,vừa có dây vừa không dây,330.0,green,1849000
Bàn phím cơ Dareu EK75 Black White,DAREU,GD68,vừa có dây vừa không dây,357.3097826086956,yellow,599000
Bàn phím cơ AULA F68 3 mode Màu xanh lá ,AULA,Razer DeathStalker V2,có dây,330.0,cherry,1999000
Bàn phím cơ AKKO 3098S SpongeBob ,Akko,D87S RGB,không dây,382.0,cherry,2599000
Bàn phím cơ AKKO 3098S World Tour London ,Akko,EK375,không dây,382.0,silver,1799000
Bàn phím cơ AKKO 3108 RF Sailor Moon ,Akko,Brown Switch ,không dây,440.0,red,2099000
Bàn phím cơ Dareu A98 PRO Tri Mode RED WAVE ,DAREU,Kailh BOX Coolmint ,không dây,357.3097826086956,silver,1999000
Bàn phím cơ không dây Newmen GM1000 White sw ,Newmen,EK375,vừa có dây vừa không dây,368.0,blue,1749000
Bàn phím cơ AKKO 3084 v2 RGB - Black ,Akko,3084,không dây,315.0,silver,1299000
Bàn phím cơ không dây Dareu EK807G trắng Blue sw ,DAREU,Kailh BOX Coolmint ,không dây,357.3097826086956,blue,449000
Bàn phím cơ không dây Dareu EK807G trắng Brown sw ,DAREU,FL100CPM,không dây,357.3097826086956,blue,449000
Bàn phím cơ không dây Newmen GM335 Dual Mode Blue sw ,Newmen,Everest Max,có dây,436.0,pink,949000
Bàn phím Asus ROG Strix Scope NX TKL Blue sw,Asus,EK387L White,có dây,356.0,blue,2299000
Bàn phím cơ không dây Dareu EK807G trắng Red sw ,DAREU,T87s Pro Wireless,không dây,357.3097826086956,blue,449000
Bàn phím cơ không dây Newmen GM335 Dual Mode Black sw ,Newmen,CD108HR,vừa có dây vừa không dây,436.0,green,949000
Bàn phím cơ game Edra EK387FL RGB Polar night Blue sw ,Edra,EK314W,có dây,362.0,blue,999000
Bàn phím cơ game Edra EK387FL RGB Polar night Brown sw ,Edra,Kailh BOX Coolmint ,có dây,362.0,blue,999000
Bàn phím máy tính có dây Kenoo K6020 - màu đen,KENOO,KB1,có dây,357.3097826086956,pink,149000
Bàn phím cơ Không dây FL-Esport Q75 Azure Green 3 Mode Jellyfish sw ,Mountain,Kailh Clione Limacina ,vừa có dây vừa không dây,357.3097826086956,silver,3399000
Bàn phím cơ không dây AKKO 3108 RF Matcha Red Bean ,Akko,G512 GX,có dây,357.3097826086956,brown,1699000
Bàn phím cơ không dây AKKO 3108 RF White on Black ,Akko,CD108HR,không dây,440.0,yellow,1499000
Bàn phím cơ gaming có dây Razer BlackWidow V4 - Yellow Switch RZ03-04691800-R3M1,Razer,G512 GX,vừa có dây vừa không dây,357.3097826086956,yellow,3999000
Bàn phím game Razer Ornata V3-Low Profile ,Razer,GD100,không dây,357.3097826086956,silver,1499000
